10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",60117,"1986-06-26","1987-06-26","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",62102,"1987-06-26","1988-06-25","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",66074,"1988-06-25","1989-06-25","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",66596,"1989-06-25","1990-06-25","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",66961,"1990-06-25","1991-06-25","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",71046,"1991-06-25","1992-06-24","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",74333,"1992-06-24","1993-06-24","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",75286,"1993-06-24","1994-06-24","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",75994,"1994-06-24","1995-06-24","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",76884,"1995-06-24","1996-06-23","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",80013,"1996-06-23","1997-06-23","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",81025,"1997-06-23","1998-06-23","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",81097,"1998-06-23","1999-06-23","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",84917,"1999-06-23","2000-06-22","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",85112,"2000-06-22","2001-06-22","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",85097,"2001-06-22","2002-06-22","Development","1986-06-26","9999-01-01"
10001,"1953-09-02","Georgi","Facello","M","1986-06-26","Senior Engineer","1986-06-26","9999-01-01",88958,"2002-06-22","9999-01-01","Development","1986-06-26","9999-01-01"
10002,"1964-06-02","Bezalel","Simmel","F","1985-11-21","Staff","1996-08-03","9999-01-01",65828,"1996-08-03","1997-08-03","Sales","1996-08-03","9999-01-01"
10002,"1964-06-02","Bezalel","Simmel","F","1985-11-21","Staff","1996-08-03","9999-01-01",65909,"1997-08-03","1998-08-03","Sales","1996-08-03","9999-01-01"
10002,"1964-06-02","Bezalel","Simmel","F","1985-11-21","Staff","1996-08-03","9999-01-01",67534,"1998-08-03","1999-08-03","Sales","1996-08-03","9999-01-01"
10002,"1964-06-02","Bezalel","Simmel","F","1985-11-21","Staff","1996-08-03","9999-01-01",69366,"1999-08-03","2000-08-02","Sales","1996-08-03","9999-01-01"
10002,"1964-06-02","Bezalel","Simmel","F","1985-11-21","Staff","1996-08-03","9999-01-01",71963,"2000-08-02","2001-08-02","Sales","1996-08-03","9999-01-01"
10002,"1964-06-02","Bezalel","Simmel","F","1985-11-21","Staff","1996-08-03","9999-01-01",72527,"2001-08-02","9999-01-01","Sales","1996-08-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",40006,"1995-12-03","1996-12-02","Production","1995-12-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",43616,"1996-12-02","1997-12-02","Production","1995-12-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",43466,"1997-12-02","1998-12-02","Production","1995-12-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",43636,"1998-12-02","1999-12-02","Production","1995-12-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",43478,"1999-12-02","2000-12-01","Production","1995-12-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",43699,"2000-12-01","2001-12-01","Production","1995-12-03","9999-01-01"
10003,"1959-12-03","Parto","Bamford","M","1986-08-28","Senior Engineer","1995-12-03","9999-01-01",43311,"2001-12-01","9999-01-01","Production","1995-12-03","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",40054,"1986-12-01","1987-12-01","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",42283,"1987-12-01","1988-11-30","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",42542,"1988-11-30","1989-11-30","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",46065,"1989-11-30","1990-11-30","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",48271,"1990-11-30","1991-11-30","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",50594,"1991-11-30","1992-11-29","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",52119,"1992-11-29","1993-11-29","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",54693,"1993-11-29","1994-11-29","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",58326,"1994-11-29","1995-11-29","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",60770,"1995-11-29","1996-11-28","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",62566,"1996-11-28","1997-11-28","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",64340,"1997-11-28","1998-11-28","Production","1986-12-01","9999-01-01"
10004,"1954-05-01","Chirstian","Koblick","M","1986-12-01","Engineer","1986-12-01","1995-12-01",67096,"1998-11-28","1999-11-28","Production","1986-12-01","9999-01-01"
